"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","entrance","navy","west_basin","mid_basin","east_basin","container","dak_fishing","dak_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"YANGMING8001","412209195","CHN","CHN",NA,"fishing","high","fishing","unknown","SEN","DAKAR",2025-06-12 19:31:13,4,2025-07-01 03:12:18,4,18.3,"DAKAR",2025-06-12 19:31:13,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,10,47.0888888888889,"GNB",FALSE,"SRFC, NAMMCO, IWC, ICCAT, ACAP",FALSE,0,TRUE,1,FALSE,0,25,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2e5f4ad48-88f3-9803-7051-7a03e4d7c782?&start=2025-06-10&end=2025-07-03"")"
"CIUDAD DE HUELVA","225987981","ESP","ESP","8740955","fishing","high","fishing","trawlers","GNB","BISSAU",2025-05-19 03:36:28,4,2025-07-01 08:40:08,4,43.2,"DAKAR",2025-05-17 18:30:20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,220,14224.1222222223,"GNB, SEN",FALSE,"ICCAT, SRFC, IWC, NAMMCO, ACAP",FALSE,0,TRUE,1,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/45fc67c5f-ffbb-8088-09a3-4baf211463bb?&start=2025-05-17&end=2025-07-03"")"
"PEIX MAR 25","224033000","ESP","ESP","8733744","fishing","high","fishing","trawlers","GNB","BISSAU",2025-05-31 06:16:26,4,2025-07-02 05:25:01,4,32,"DAKAR",2025-01-22 20:45:55,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,410,13960.7111111111,"GNB, SEN",FALSE,"SRFC, NAMMCO, ACAP, IWC, ICCAT",FALSE,0,TRUE,7,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3740d2e32-20fd-74e7-2399-a4ef41b13bf8?&start=2025-05-29&end=2025-07-04"")"
"VASK 24","654326100","MRT","MRT","8733756","fishing","high","fishing","trawlers","GIN","CONAKRY",2025-05-31 17:21:06,4,2025-07-02 06:25:30,4,31.5,"DAKAR",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,110,3477.84305555555,"GIN, SEN",FALSE,"IWC, NAMMCO, ICCAT, SRFC, ACAP",FALSE,0,TRUE,1,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/183a14eba-ae2a-472a-4c29-f76945dd7deb?&start=2025-05-29&end=2025-07-04"")"
"GUOJIN908","412549197","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-16 21:12:10,4,2025-07-02 20:10:56,4,15.9,"DAKAR",2025-06-16 21:12:10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,165,1291.82916666667,"SEN",FALSE,"ACAP, IWC, ICCAT, NAMMCO, SRFC",FALSE,0,TRUE,4,FALSE,0,46.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b1746e808-87ff-d6f5-bd85-255ca80d9d1a?&start=2025-06-14&end=2025-07-04"")"
"JOMAFRAN SEGUNDO","225995265","","ESP",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-02 12:31:35,4,2025-07-03 00:54:46,4,0.5,"DAKAR",2025-07-02 12:31:35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cbd74e07f-fa3d-b182-eee3-802733bc5d5e?&start=2025-06-30&end=2025-07-05"")"
"YANGMING8032","412209009","","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-01 23:46:39,4,2025-07-03 01:05:30,4,1,"DAKAR",2025-07-01 23:46:39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,74.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fff3fc565-577b-cea2-43c6-9e6c215281f7?&start=2025-06-29&end=2025-07-05"")"
"MIN LONG YU61146","412444322","CHN","CHN",NA,"fishing","high","fishing","trawlers","GNB","BISSAU",2025-07-01 23:43:52,3,2025-07-03 10:18:46,4,1.4,"DAKAR",2025-06-14 16:13:50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,TRUE,1,FALSE,0,FALSE,0,30.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3d85e312f-f420-4646-1a9a-f1c99f636999?&start=2025-06-29&end=2025-07-05"")"
"EGALUZE","224580000","ESP","ESP","8109620","fishing","high","fishing","purse_seines","SEN","DAKAR",2025-06-15 13:13:44,4,2025-07-03 18:49:46,4,18.2,"DAKAR",2025-06-15 13:13:44,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,10,61.2777777777778,"MRT",FALSE,"ICCAT, IWC, ACAP, NAMMCO, SRFC",FALSE,0,TRUE,1,TRUE,1,37.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0aa90604-4562-1097-2a1e-56ca4a57e84f?&start=2025-06-13&end=2025-07-05"")"
"PLAYA DE LAGA","312360000","BLZ","BLZ","9719800","fishing","med","fishing","purse_seines","CPV","MINDELO",2025-06-26 08:11:17,4,2025-07-03 20:03:06,4,7.5,"DAKAR",2025-05-08 15:46:15,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,15,13.2875,"SEN",FALSE,"ICCAT, NAMMCO, SRFC, ACAP, IWC",FALSE,0,TRUE,1,FALSE,0,23.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cc6b54a24-4542-6ce9-1e91-d4f17daeeda5?&start=2025-06-24&end=2025-07-05"")"
"ZILLARRI","312507000","BLZ","BLZ","9095266","fishing","low","support","purse_seine_support","CPV","MINDELO",2025-07-02 13:05:03,4,2025-07-03 20:03:52,4,1.3,"DAKAR",NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,93.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1eb24bd25-5b68-347b-9498-ad3df136de22?&start=2025-06-30&end=2025-07-05"")"
"GUOJIN901","412549196","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-13 23:57:06,4,2025-07-04 00:06:45,4,20,"DAKAR",2025-06-13 23:57:06,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,420,5357.9875,"SEN",FALSE,"SRFC, IWC, ACAP, NAMMCO, ICCAT",FALSE,0,TRUE,3,FALSE,0,76.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e1978b237-794c-1a7d-171c-6c11f629c154?&start=2025-06-11&end=2025-07-06"")"
"CHANG RONG 5","412280994","CHN","CHN",NA,"fishing","high","fishing","drifting_longline","SEN","DAKAR",2024-10-19 10:59:59,4,2025-07-04 09:11:33,4,257.9,"DAKAR",2024-10-19 10:59:59,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1384,9211.17555555556,NA,TRUE,"ACAP, IWC, NAMMCO, ICCAT",TRUE,4,TRUE,51,FALSE,0,76.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5fef91cbd-d1f5-6e89-da98-e954963e1566?&start=2024-10-17&end=2025-07-06"")"
"SEA FRONTIER","632001009","GIN","GIN","8988806","fishing","high","fishing","tuna_purse_seines","SEN","DAKAR",2025-06-02 11:45:30,4,2025-07-04 13:33:41,4,32,"DAKAR",2025-06-02 11:45:30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,366,1467.45305555556,"GNB, GIN, SEN, SLE",TRUE,"IWC, ICCAT, ACAP, SRFC, NAMMCO",FALSE,0,TRUE,39,FALSE,0,86,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d2b4fe93a-aff7-7fee-8f10-183fa04a6252?&start=2025-05-31&end=2025-07-06"")"
"MX22","412209172","CHN","CHN",NA,"fishing","high","fishing","trawlers","GIN","CONAKRY",2025-07-02 12:36:08,4,2025-07-04 16:44:23,3,2.2,"DAKAR",2025-01-16 14:44:38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,24.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/418ae526a-a5fb-1f28-144b-9b5554251700?&start=2025-06-30&end=2025-07-06"")"
"MENGXIN2O","412209169","CHN","CHN",NA,"fishing","high","fishing","trawlers","GIN","CONAKRY",2025-07-02 12:28:32,4,2025-07-04 19:15:44,3,2.3,"DAKAR",2025-01-24 02:25:19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,92.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/39a2ea836-6df8-0b65-f4f1-4edefca267d2?&start=2025-06-30&end=2025-07-06"")"
"MENGXIN23","412209173","CHN","CHN",NA,"fishing","high","fishing","trawlers","GIN","CONAKRY",2025-07-02 21:11:59,4,2025-07-05 03:21:13,3,2.3,"DAKAR",2025-01-12 08:59:17,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,21.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/75fdc78ae-e133-f259-3653-52561165e258?&start=2025-06-30&end=2025-07-07"")"
